LGA,Profit,Tax,Machines,Premises Count
"Albury
Greater Hume",24405524,5266934,850,8
"Armidale
Glen Innes Severn",5778231,788695,267,7
Ballina,8496734,1451539,383,7
"Balranald
Carrathool
Central Darling",4840075,744971,202,6
"Bathurst
Blayney",5356026,894190,275,7
Bayside,13782049,2055160,1058,18
Bega Valley,7721981,920028,488,11
Bellingen,1639666,132103,130,5
Berrigan,5589249,874938,290,5
Blacktown,37381922,7812098,2079,11
Bland,803322,69525,84,6
"Blue Mountains
Oberon",3125840,233703,376,12
"Bogan
Bourke
Brewarrina",1910027,103516,85,5
"Broken Hill
Unincorporated Far West
Wentworth",9960483,1590016,453,7
"Burwood
Strathfield",12884772,2311279,564,7
Byron,2692487,252966,237,9
Cabonne,871085, -   ,92,11
Camden,7916543,1408749,450,5
Campbelltown,26753479,5541031,1572,10
"Canada Bay
Hunters Hill
Lane Cove",8142927,1138806,589,12
Canterbury-Bankstown,79269903,16630822,3852,29
Central Coast,48423291,7556742,3587,36
Cessnock,7508814,916725,533,12
"Clarence Valley
Tenterfield",9615129,1260967,517,13
"Cobar
Lachlan",2752451,332355,134,6
Coffs Harbour,15973651,2872250,542,12
"Coolamon
Junee",903605,73140,80,5
"Coonamble
Gilgandra",1890093,192519,93,5
"Cootamundra-Gundagai
Temora",2707092,264225,177,7
Cowra,2348772,302099,139,6
Cumberland,49016515,10368576,2134,14
Dubbo Regional,9084032,1525445,440,9
"Dungog
Singleton",4486503,565261,279,8
"Edward River
Hay",2509625,281827,178,5
Eurobodalla,11668956,1591912,713,10
Fairfield,88672639,19383104,3350,18
Federation,14876016,2568527,720,9
"Forbes
Weddin",1348110,136600,102,5
Georges River,24838811,4260321,1598,15
"Goulburn Mulwaree
Upper Lachlan",6884021,1058053,385,7
Griffith,10164375,1697527,375,9
"Gunnedah
Liverpool Plains",3677330,395365,188,7
"Gwydir
Uralla
Walcha",952863, -   ,95,10
Hawkesbury,6330426,861988,530,11
"Hilltops
Yass Valley",4423394,567947,257,11
Hornsby,9271377,1482674,857,10
Inner West,12338336,2217345,900,15
Inverell,2655230,352096,124,6
Kempsey,6398242,832111,335,10
Kiama,2789330,231294,205,6
"Ku-ring-gai
Willoughby",7054930,1418592,431,9
Kyogle,114952, -   ,42,5
Lake Macquarie,26199449,3592350,1858,33
"Leeton
Murrumbidgee",2943478,306924,142,7
Lismore,5369590,804026,279,11
Lithgow,3329926,404762,236,6
Liverpool,19958862,3854162,1067,8
"Lockhart
Narrandera",1443827,107327,122,8
Maitland,7136929,1092082,433,6
Mid-Coast,18877112,2298974,1076,28
Mid-Western Regional,3167965,364775,168,7
"Moree Plains
Walgett",5983503,694259,301,7
"Mosman
North Sydney",5158368,852954,381,5
Murray River,21061874,3892032,925,10
Muswellbrook,3831844,540037,170,5
Nambucca,3498355,292482,237,9
Narrabri,1927666,165057,145,7
"Narromine
Warren",1513657,63899,120,7
Newcastle,31846408,5836602,1937,29
Northern Beaches,22138516,3764853,1691,28
Orange,7945998,1497765,300,5
Parkes,2888847,314915,184,9
Parramatta,20839563,3881430,1224,11
Penrith,28241433,5189827,2082,15
Port Macquarie-Hastings,20954608,3568648,956,14
Port Stephens,10690360,1424612,743,13
Queanbeyan-Palerang,15025223,2931028,608,8
"Randwick
Woollahra",12315949,2001249,973,20
Richmond Valley,4445405,514424,245,8
Ryde,11168223,1855849,922,11
Shellharbour,10509202,1720896,712,6
Shoalhaven,23408835,3214255,1387,23
Snowy Monaro,2890840,329181,156,7
"Snowy Valleys
Wagga Wagga",10885062,1796350,464,12
Sutherland,18523923,2666112,1512,23
Sydney,6214839,939325,558,8
Tamworth Regional,9438961,1226526,506,15
The Hills,11129599,2133888,624,7
Tweed,27491295,4741457,1650,15
Upper Hunter,2513656,203519,159,9
Warrumbungle,664337, -   ,96,10
Waverley,4885521,912744,369,6
Wingecarribee,4956022,738257,313,7
Wollondilly,841053,24090,167,5
Wollongong,26318771,3687584,2156,35